product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description
SUSHI-USD,0.2027,0.84577114427861,169143.02,-41.79728922806945,0.01,0.0001,1,10000000,0.01,9230000,SushiSwap,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SUSHI,,,,['SUSHI-USDC'],SUSHI,USD,False,0.0001,SUSHI-USD,CBE,34285.29,2023-01-01T00:00:00Z,,,,,,,,False,
SUSHI-USDC,0.2027,0.84577114427861,169143.02,-41.79728922806945,0.01,0.0001,1,10000000,0.01,9230000,SushiSwap,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SUSHI,,,SUSHI-USD,[],SUSHI,USD,False,0.0001,SUSHI-USDC,CBE,34285.29,2023-01-01T00:00:00Z,,,,,,,,False,
USD1-USD,0.9997,0.03001801080648,33138.43,-80.62973527940651,0.01,0.0001,1,10000000,0.01,10006825.1953564342133085,World Liberty Financial USD,US Dollar,False,False,False,online,False,True,False,False,False,SPOT,USD,USD1,,,,['USD1-USDC'],USD1,USD,False,0.0001,USD1-USD,CBE,33128.49,2025-08-21T16:54:02.259Z,,,,,,,,False,
USD1-USDC,0.9997,0.03001801080648,33138.43,-80.62973527940651,0.01,0.0001,1,10000000,0.01,10006825.1953564342133085,World Liberty Financial USD,USDC,False,False,False,online,False,True,False,False,False,SPOT,USDC,USD1,,,USD1-USD,[],USD1,USD,False,0.0001,USD1-USDC,CBE,33128.49,2025-08-21T16:54:02.259Z,,,,,,,,False,
COOKIE-USD,0.0174,-1.91657271702368,1902651.4,-15.6007523954615,0.1,0.00001,1,10000000,0.1,60605427.7188073562046956,Cookie DAO,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,COOKIE,,,,['COOKIE-USDC'],COOKIE,USD,False,0.00001,COOKIE-USD,CBE,33106.13,2025-03-10T15:53:00.013Z,,,,,,,,False,
COOKIE-USDC,0.0174,-1.91657271702368,1902651.4,-15.6007523954615,0.1,0.00001,1,10000000,0.1,60605427.7188073562046956,Cookie DAO,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,COOKIE,,,COOKIE-USD,[],COOKIE,USD,False,0.00001,COOKIE-USDC,CBE,33106.13,2025-03-10T15:53:00.013Z,,,,,,,,False,
JUPITER-USD,0.1594,-0.12531328320802,202392,-47.62372056046905,0.1,0.0001,1,10000000,0.1,43740161.2283040456527027,Jupiter,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,JUPITER,,,,['JUPITER-USDC'],JUPITER,USD,False,0.0001,JUPITER-USD,CBE,32261.28,2025-12-08T17:58:00.024Z,,,,,,,,False,
JUPITER-USDC,0.1594,-0.12531328320802,202392,-47.62372056046905,0.1,0.0001,1,10000000,0.1,43740161.2283040456527027,Jupiter,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,JUPITER,,,JUPITER-USD,[],JUPITER,USD,False,0.0001,JUPITER-USDC,CBE,32261.28,2025-12-08T17:58:00.024Z,,,,,,,,False,
SD-USD,0.1365,0,230069.36,281.21242357959577,0.01,0.0001,1,10000000,0.01,15002618.9033921928125671,Stader,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SD,,,,['SD-USDC'],SD,USD,False,0.0001,SD-USD,CBE,31404.47,2024-07-29T19:11:04.600Z,,,,,,,,False,
SD-USDC,0.1365,0,230069.36,281.21242357959577,0.01,0.0001,1,10000000,0.01,15002618.9033921928125671,Stader,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SD,,,SD-USD,[],SD,USD,False,0.0001,SD-USDC,CBE,31404.47,2024-07-29T19:11:04.600Z,,,,,,,,False,
